BILL OF MATERIAL DETAIL - THỐNG KÊ DIỄN GIẢI KHỐI LƯỢNG,,,,,,,,,,,,,,,,,,,,,
    ,PROJECT CODE  - MÃ DỰ ÁN:        ,,BG-1....25,,,,,,,,,,,,,,,,,,
    ,CONTRACTOR - BÊN GIAO THẦU :              ,,CONG TY TNHH MDA E&C,,,,,,,,,,,,,,,,,,
    ,PROJECT NAME - TÊN DỰ ÁN :        ,,NHA MAY SAN XUAT INTERFLEX & KOREA CIRCUIT VINA,,,,,,,,,,,,,,,,,,
    ,ITEM NAME -TÊN HẠNG MỤC:           ,,NHA XE ,,,,,,,,,,,,,,,,,,
    ,SUBCONTRACTOR - NHÀ THẦU :       ,,MINH CUONG STEEL,,,,,,,,,,,,,,,,,,
    ,LOCATION - ĐỊA ĐIỂM:,,XA VINH TUONG - T.PHU THO,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NO,Dự án_ID (Project_ID),Cấu kiện (Assembly_ID),Tên ck (Ass name),Tên chi tiết (Part name),Tiết diện (Profile),Vật liệu (Material),Dày (Thick) (mm),Rộng (Width) (mm),Dài (Length) (mm),SL/1CK (Qty/Ass),SL tổng (QtyTotal),KL CT (Weight 1 Part) (kg),KL/1CK tổ hợp (Weight 1 combination Ass) (kg),KL tổ hợp (Weight combination Total) (kg),KL/1CK (Weight 1 Ass) (kg),KL tổng (Weight Total) (kg),Area 1 Ass -(m2),Area Total (m2),welding machine (mh),hand welding (mh),Note
1,BG-1.....25 - NXE,BG-1.....25 - NXE-AncSet.0        ,ANCHOR BOLT     ,AncSet.0        ,D20,C45     ,,          ,600,       ,102,             ,0,0,7.08,722.16,0.05,18.51,,0,Bu lông
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-M20.1           ,                ,M20.1           ,D20,C45     ,D20,(Kg/m)    ,717,4,408,1.77,,,7.08,722.16,0.05,18.51,,,
2,BG-1.....25 - NXE,BG-1.....25 - NXE-BR2.1           ,BEAM            ,BR2.1           ,L100*6,SS400   ,,          ,1500,       ,3,             ,0,0,16.94,50.82,0.66,2.17,,0,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-MV100.1         ,                ,MV100.1         ,L100*6,SS400   ,L100*6,(Kg/m)    ,1500,1,3,14.06,,,14.06,42.18,0.59,1.77,,,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-PL.1            ,                ,PL.1            ,PLT6*90,Q355    ,6,90,180,2,6,0.76,,,1.52,4.56,0.04,0.21,,,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-PL.2            ,                ,PL.2            ,PLT6*80,Q355    ,6,80,180,2,6,0.68,,,1.36,4.08,0.03,0.19,,,
3,BG-1.....25 - NXE,BG-1.....25 - NXE-BR2.2           ,BEAM            ,BR2.2           ,L100*6,SS400   ,,          ,1500,       ,3,             ,0,0,16.94,50.82,0.66,2.17,,0,
           ,BG-1.....25 - NXE,BG-1.....25 - NXE-MV100.1         ,                ,MV100.1         ,L100*6,SS400   ,L100*6,(Kg/m)    ,1500,1,3,14.06,,,14.06,42.18,0.59,1.77,,,
